"Name","FMISID","Lat","Lon"
"Ähtäri Inha",101520,62.55,24.14
"Alajärvi Möksy",101533,63.09,24.26
"Asikkala Pulkkilanharju",101185,61.27,25.52
"Enontekiö Kilpisjärvi kyläkeskus",102016,69.04,20.81
"Enontekiö Kilpisjärvi Saana",102017,69.04,20.85
"Enontekiö lentoasema",101976,68.36,23.43
"Enontekiö Näkkälä",102019,68.6,23.58
"Espoo Nuuksio",852678,60.29,24.57
"Espoo Tapiola",874863,60.18,24.79
"Haapavesi Mustikkamäki",101695,64.14,25.42
"Hailuoto Keskikylä",101776,65.02,24.73
"Hailuoto Marjaniemi",101784,65.04,24.56
"Halsua Purola",101528,63.45,24.44
"Hämeenlinna Katinen",101150,61,24.49
"Hämeenlinna Lammi Pappila",101154,61.05,25.04
"Hammarland Märket",100919,60.3,19.13
"Hanko Russarö",100932,59.77,22.95
"Hanko Tulliniemi",100946,59.81,22.91
"Hanko Tvärminne",100953,59.84,23.25
"Hattula Lepaa",101151,61.11,24.32
"Heinola Asemantaus",101196,61.2,26.05
"Helsinki Harmaja",100996,60.11,24.98
"Helsinki Helsingin majakka",101003,59.95,24.93
"Helsinki Kaisaniemi",100971,60.18,24.94
"Helsinki Kumpula",101004,60.2,24.96
"Helsinki Malmi lentokenttä",101009,60.25,25.05
"Helsinki Vuosaari Käärmeniementie",103943,60.22,25.17
"Helsinki Vuosaari satama",151028,60.21,25.2
"Hyvinkää Hyvinkäänkylä",101130,60.6,24.8
"Ilmajoki Seinäjoki lentoasema",137188,62.69,22.84
"Ilomantsi Mekrijärvi",101651,62.77,30.97
"Ilomantsi Pötsönvaara",101649,63.14,31.04
"Inari Angeli Lintupuoliselkä",102026,68.9,25.74
"Inari Ivalo lentoasema ",102033,68.61,27.42
"Inari Kaamanen",102047,69.14,27.27
"Inari Kirakkajärvi",102055,69.58,28.89
"Inari Nellim",102052,68.85,28.3
"Inari Raja-Jooseppi",102009,68.48,28.3
"Inari Saariselkä Kaunispää",102006,68.43,27.45
"Inari Saariselkä matkailukeskus",102005,68.42,27.41
"Inari Seitalaassa ",129963,69.05,27.76
"Inari Väylä",102042,69.07,27.49
"Inkoo Bågaskär",100969,59.93,24.01
"Inkoo Jakobramsjö",108020,59.99,24
"Jämsä Halli lentoasema",101315,61.86,24.8
"Jämsä Halli Lentoasemantie",101338,61.86,24.81
"Järvenpää Sorto",103786,60.5,25.07
"Joensuu Linnunlahti",101632,62.6,29.73
"Jokioinen Ilmala",101104,60.81,23.5
"Jomala Jomalaby",100917,60.18,19.99
"Jomala Maarianhamina lentoasema",100907,60.13,19.9
"Joutsa Savenaho",101367,61.88,26.09
"Juuka Niemelä",101609,63.23,29.23
"Juupajoki Hyytiälä",101317,61.85,24.29
"Juva Partala",101418,61.89,27.89
"Jyväskylä lentoasema",101339,62.4,25.67
"Jyväskylä lentoasema AWOS",137208,62.39,25.69
"Kaarina Yltöinen",100934,60.39,22.55
"Kajaani lentoasema ",101725,64.28,27.67
"Kajaani Petäisenniska",126736,64.22,27.75
"Kalajoki Ulkokalla",101673,64.33,23.45
"Kankaanpää Niinisalo lentokenttä",101291,61.84,22.46
"Karvia Alkkia",101272,62.18,22.8
"Kaskinen Sälgrund",101256,62.33,21.19
"Kauhajoki Kuja-Kokko",101289,62.41,22.18
"Kauhava lentokenttä",101503,63.12,23.04
"Kemi Ajos",101846,65.67,24.52
"Kemi I majakka",101783,65.39,24.1
"Kemi Kemi-Tornio lentoasema",101840,65.79,24.58
"Kemijärvi lentokenttä",101950,66.72,27.16
"Kemiönsaari Kemiö",100951,60.17,22.76
"Kemiönsaari Vänö",100945,59.87,22.19
"Kirkkonummi Mäkiluoto",100997,59.92,24.35
"Kittilä Kenttärova",101987,67.99,24.24
"Kittilä lentoasema",101986,67.69,24.86
"Kittilä Lompolonvuoma",778135,68,24.21
"Kittilä Matorova",101985,68,24.24
"Kittilä Pakatti",101990,67.67,24.93
"Kittilä Pokka",101994,68.17,25.78
"Kökar Bogskär",100921,59.5,20.35
"Kokemäki Tulkkila",101103,61.25,22.35
"Kokkola Santahaka",101675,63.84,23.1
"Kokkola Tankar",101661,63.95,22.85
"Korsnäs Bredskäret",101479,62.93,21.18
"Kotka Haapasaari",101042,60.29,27.18
"Kotka Rankki",101030,60.38,26.96
"Kouvola Anjala",101194,60.7,26.81
"Kouvola Utti lentoasema",101191,60.9,26.95
"Kouvola Utti Lentoportintie",101219,60.89,26.93
"Kristiinankaupunki Majakka",101268,62.2,21.17
"Kruunupyy Kokkola-Pietarsaari lentoasema",101662,63.73,23.14
"Kuhmo Kalliojoki",101773,64.3,30.17
"Kumlinge kirkonkylä",100928,60.26,20.75
"Kuopio Maaninka",101572,63.14,27.31
"Kuopio Ritoniemi",101580,62.8,27.9
"Kuopio Savilahti",101586,62.89,27.63
"Kustavi Isokari",101059,60.72,21.03
"Kuusamo Juuma",101899,66.32,29.4
"Kuusamo Kiutaköngäs",101887,66.37,29.31
"Kuusamo lentoasema ",101886,65.99,29.23
"Kuusamo Ruka Talvijärvi",806428,66.17,29.14
"Kuusamo Rukatunturi",101897,66.17,29.15
"Kuusamo Välikangas",107081,66,29.22
"Lahti Sopenkorpi",104796,60.97,25.62
"Lappeenranta Hiekkapakka",101252,61.2,28.47
"Lappeenranta Konnunsuo",101246,61.04,28.56
"Lappeenranta lentoasema",101237,61.04,28.13
"Lappeenranta Lepola ",101247,61.06,28.21
"Lemland Nyhamn",100909,59.96,19.95
"Lieksa Lampela",101636,63.32,30.05
"Liperi Joensuu lentoasema",101608,62.66,29.64
"Liperi Tuiskavanluoto ",101628,62.55,29.67
"Lohja Porla",100974,60.24,24.05
"Loviisa Orrengrund",101039,60.27,26.45
"Luhanka Judinsalo",101362,61.7,25.51
"Lumparland Långnäs satama",151048,60.12,20.3
"Maalahti Strömmingsbådan",101481,62.98,20.74
"Maarianhamina Länsisatama",151029,60.09,19.93
"Maarianhamina Lotsberget ",107383,60.09,19.94
"Mäntsälä Hirvihaara",103794,60.63,25.19
"Mikkeli lentoasema",101398,61.69,27.2
"Mikkeli Lentoasema AWOS",855522,61.69,27.21
"Multia Karhila",101536,62.51,24.81
"Muonio Laukukero",101982,68.06,24.03
"Muonio Oustajärvi",106435,67.95,23.71
"Muonio Sammaltunturi",101983,67.97,24.12
"Mustasaari Valassaaret",101464,63.44,21.07
"Nurmes Valtimo",101743,63.67,28.83
"Nurmijärvi Röykkä",101149,60.51,24.65
"Oulu Kaukovainio",108040,65,25.52
"Oulu lentoasema",101786,64.94,25.34
"Oulu Oulunsalo Pellonpää",101799,64.94,25.37
"Oulu Vihreäsaari satama",101794,65.01,25.39
"Parainen Fagerholm",100924,60.11,21.7
"Parainen Utö",100908,59.78,21.37
"Parikkala Koitsanlahti",101254,61.44,29.46
"Pelkosenniemi Pyhätunturi",101958,67.02,27.22
"Pello kirkonkylä",101914,66.77,23.96
"Pietarsaari Kallan",101660,63.75,22.52
"Pirkkala Tampere-Pirkkala lentoasema",101118,61.42,23.62
"Pori lentoasema",101044,61.46,21.81
"Pori rautatieasema",101064,61.48,21.78
"Pori Tahkoluoto satama",101267,61.63,21.38
"Porvoo Emäsalo",101023,60.2,25.63
"Porvoo Harabacka",101028,60.39,25.61
"Porvoo Kalbådagrund",101022,59.99,25.6
"Porvoo Kilpilahti satama",100683,60.3,25.55
"Pudasjärvi lentokenttä",101805,65.4,26.96
"Puolanka Paljakka",101831,64.66,28.06
"Puumala kirkonkylä",150168,61.52,28.18
"Pyhäjärvi Ojakylä",101705,63.74,25.71
"Pyhtää lentokenttä",107029,60.49,26.59
"Raahe Lapaluoto satama",101785,64.67,24.41
"Raahe Nahkiainen",101775,64.61,23.9
"Raasepori Jussarö",100965,59.82,23.57
"Rantasalmi Rukkasluoto",101436,62.06,28.57
"Ranua lentokenttä",101873,65.98,26.37
"Rauma Kylmäpihlaja",101061,61.14,21.3
"Rauma Pyynpää",105427,61.14,21.52
"Rautavaara Ylä-Luosta",101603,63.38,28.66
"Rovaniemi Apukka ",101933,66.58,26.01
"Rovaniemi lentoasema",101920,66.56,25.84
"Rovaniemi lentoasema AWOS",137190,66.57,25.85
"Rovaniemi rautatieasema ",101928,66.5,25.71
"Salla kirkonkylä",101959,66.82,28.69
"Salla Naruska",101966,67.16,29.18
"Salla Värriötunturi",102012,67.75,29.61
"Salo Kärkkä",100955,60.37,23.11
"Salo Kiikala lentokenttä",100967,60.46,23.65
"Savonlinna lentoasema",101430,61.95,28.93
"Savonlinna Punkaharju Laukansaari",101441,61.8,29.32
"Savukoski kirkonkylä",101952,67.28,28.18
"Savukoski Tulppio",107565,67.77,29.21
"Seinäjoki Pelmaa",101486,62.94,22.49
"Siikajoki Ruukki",101787,64.68,25.09
"Siilinjärvi Kuopio lentoasema",101570,63,27.81
"Sipoo Itätoukki",105392,60.1,25.19
"Sodankylä Lokka",102000,67.82,27.75
"Sodankylä Tähtelä",101932,67.37,26.63
"Sodankylä Vuotso",102001,68.08,27.19
"Somero Salkola",101128,60.65,23.81
"Sotkamo Kuolaniemi",101756,64.11,28.34
"Sotkamo Tuhkakylä",107113,64,28.06
"Suomussalmi Pesiö",101826,64.93,28.75
"Taivalkoski kirkonkylä",101885,65.57,28.22
"Tampere Härmälä",101124,61.47,23.75
"Tampere Siilinkari",101311,61.52,23.75
"Tervola Loue",107201,66.15,24.99
"Tohmajärvi Kemie",101459,62.24,30.35
"Toholampi Laitala",101689,63.82,24.16
"Tornio Torppi",101851,65.85,24.17
"Turku Artukainen",100949,60.45,22.18
"Turku lentoasema",101065,60.52,22.28
"Turku Rajakari",100947,60.38,22.1
"Utsjoki Kevo",102035,69.76,27.01
"Utsjoki Kevo Kevojärvi",126737,69.76,27.01
"Utsjoki Nuorgam",102036,70.08,27.9
"Vaala Pelso",101800,64.5,26.42
"Vaasa Klemettilä",101485,63.1,21.64
"Vaasa lentoasema",101462,63.06,21.75
"Vantaa Helsinki-Vantaan lentoasema",100968,60.33,24.97
"Varkaus Kosulanniemi",101421,62.32,27.91
"Vesanto kirkonkylä",101555,62.92,26.42
"Vieremä Kaarakkala",101726,63.84,27.22
"Vihti Maasoja",100976,60.42,24.4
"Viitasaari Haapaniemi",101537,63.08,25.86
"Virolahti Koivuniemi",101231,60.53,27.67
"Virrat Äijänneva",101310,62.33,23.54
"Ylitornio Meltosjärvi",101908,66.53,24.65
"Ylivieska lentokenttä",101690,64.05,24.72
